Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
U-25,15.4494,,,,,,NP,
V-25,16.3164,,,,,,NP,
W-25,17.2463,,,,,,NP,
X-25,18.2297,,,,,,NP,
Y-25,19.2582,,,,,,NP,
A-26,22.2237,,,,,,NP,
B-26,21.1658,,,,,,NP,
C-26,20.1435,,,,,,NP,
D-26,19.1626,,,,,,NP,
E-26,18.2297,,,,,,NP,
F-26,17.3525,,,,,,NP,
G-26,16.5399,,,,,,NP,
H-26,15.8019,,,,,,NP,
I-26,15.1494,,,,,,NP,
J-26,14.5938,,,,,,NP,
K-26,14.1466,,,,,,NP,
L-26,13.8183,,,,,,NP,
M-26,13.6176,2,0,0,1,0,-75,
N-26,13.55,1,0,0,1,0,-76,
O-26,13.6176,0,0,0,2,0,-78,
P-26,13.8183,,,,,,NP,
Q-26,14.1466,,,,,,NP,
R-26,14.5938,,,,,,NP,
S-26,15.1494,,,,,,NP,
T-26,15.8019,,,,,,NP,
U-26,16.5399,,,,,,NP,
V-26,17.3525,,,,,,NP,
W-26,18.2297,,,,,,NP,
X-26,19.1626,,,,,,NP,
Y-26,20.1435,,,,,,NP,
A-27,23.0748,,,,,,NP,
B-27,22.0578,,,,,,NP,
C-27,21.0789,,,,,,NP,
D-27,20.1435,,,,,,NP,
E-27,19.2582,,,,,,NP,
F-27,18.43,,,,,,NP,
G-27,17.667,,,,,,NP,
H-27,16.9781,,,,,,NP,
I-27,16.3725,,,,,,NP,
J-27,15.8599,,,,,,NP,
K-27,15.4494,,,,,,NP,
L-27,15.1494,,,,,,NP,
M-27,14.9665,,,,,,NP,
